============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: H
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R549 c0 b434 m6156.5 rB
R550 c0 b348 m5722.5 rL
R551 c0 b324 m5374.5 rH
R552 c0 b357 m5050.5 rL
R553 c-1 b235 m4693.5 rB
R554 c-1 b225 m4458.5 rW
R555 c0 b282 m4683.5 rS
R556 c0 b276 m4542.5 rB
R557 c0 b258 m4266.5 rU
R558 c1 b384 m4782.5 rJ
R559 c1 b378 m5358.5 rU
R560 c3 b522 m5736.5 rW
R561 c3 b567 m6258.5 rL
R562 c4 b520 m5124.5 rW
R563 c5 b570 m5644.5 rW
R564 c3 b567 m6214.5 rU
R565 c3 b612 m6781.5 rL
R566 c5 b620 m6169.5 rD
R567 c3 b558 m6169.5 rW
R568 c1 b544 m6727.5 rU
R569 c1 b584 m7271.5 rL
R570 c0 b469 m6687.5 rH
R571 c0 b378 m6218.5 rL
R572 c0 b385 m5462.5 rW
R573 c0 b354 m5847.5 rU
R574 c0 b378 m6201.5 rB
R575 c0 b354 m5823.5 rU
R576 c0 b372 m6177.5 rD
R577 c0 b372 m6177.5 rD
R578 c1 b496 m6177.5 rW
R579 c1 b536 m6673.5 rU
R580 c0 b511 m7209.5 rH
R581 c0 b402 m6698.5 rW
R582 c-1 b360 m7100.5 rS
R583 c-2 b350 m6920.5 rW
R584 c0 b539 m7620.5 rU
R585 c1 b574 m8159.5 rU
R586 c1 b704 m8733.5 rD
R587 c3 b792 m8733.5 rB
R588 c2 b720 m7941.5 rS
R589 c2 b608 m7581.5 rS
R590 c1 b584 m7277.5 rU
R591 c2 b711 m7861.5 rW
R592 c0 b602 m8572.5 rD
R593 c1 b688 m8572.5 rW
R594 c0 b558 m9260.5 rH
R595 c1 b704 m8702.5 rL
R596 c1 b640 m7998.5 rL
R597 c2 b666 m7358.5 rU
R598 c1 b648 m8024.5 rU
R599 c1 b696 m8672.5 rU
R600 c3 b909 m10064.5 rU
R601 c1 b880 m10973.5 rW
R602 c2 b1152 m12733.5 rW
R603 c3 b1251 m13885.5 rD
R604 c2 b1251 m13885.5 rU
R605 c3 b1368 m15136.5 rS
R606 c2 b1305 m14452.5 rW
R607 c3 b1422 m15757.5 rL
R608 c2 b1296 m14335.5 rL
R609 c4 b1062 m11743.5 rU
R610 c3 b1161 m12805.5 rL
R611 c2 b936 m11644.5 rU
R612 c1 b882 m12580.5 rW
R613 c0 b945 m13462.5 rB
R614 c1 b882 m12517.5 rH
R615 c0 b819 m11635.5 rW
R616 c1 b1064 m13273.5 rH
R617 c1 b896 m11145.5 rL
R618 c2 b927 m10249.5 rU
R619 c0 b784 m11176.5 rS
R620 c0 b756 m10784.5 rL
R621 c0 b707 m10028.5 rU
R622 c0 b648 m10735.5 rL
R623 c0 b707 m10087.5 rU
R624 c2 b864 m10794.5 rW
R625 c1 b936 m11658.5 rL
R626 c1 b864 m10722.5 rS
R627 c1 b721 m10290.5 rU
R628 c0 b777 m11011.5 rU
R629 c1 b944 m11788.5 rL
R630 c2 b981 m10844.5 rL
R631 c2 b792 m9863.5 rL
R632 c1 b728 m9071.5 rL
R633 c1 b672 m8343.5 rW
R634 c1 b679 m9687.5 rL
R635 c0 b546 m9008.5 rW
R636 c-1 b480 m9554.5 rU
R637 c0 b606 m10034.5 rW
R638 c0 b678 m11246.5 rU
R639 c0 b840 m11924.5 rS
R640 c0 b696 m11504.5 rU
R641 c0 b738 m12200.5 rS
R642 c-1 b595 m11831.5 rH
R643 c0 b678 m11236.5 rB
R644 c-1 b530 m10558.5 rL
R645 c0 b606 m10028.5 rB
R646 c-1 b475 m9422.5 rH
R647 c0 b595 m8472.5 rL
R648 c0 b438 m7282.5 rH
R649 c0 b414 m6844.5 rW
R650 c-2 b365 m7258.5 rU
R651 c0 b560 m7988.5 rD
R652 c1 b640 m7988.5 rW
R653 c2 b783 m8628.5 rU
R654 c1 b760 m9411.5 rW
R655 c1 b816 m10171.5 rS
R656 c1 b686 m9763.5 rU
R657 c2 b840 m10449.5 rJ
R658 c1 b944 m11709.5 rH
R659 c1 b864 m10765.5 rL
R660 c3 b900 m9901.5 rW
R661 c1 b872 m10801.5 rL
R662 c2 b900 m9929.5 rJ
R663 c2 b1017 m11279.5 rL
R664 c2 b927 m10262.5 rU
R665 c3 b1098 m12116.5 rH
R666 c1 b888 m11018.5 rB
R667 c1 b816 m10130.5 rU
R668 c1 b880 m10946.5 rL
R669 c0 b707 m10066.5 rH
R670 c1 b752 m9359.5 rW
R671 c1 b714 m10111.5 rW
R672 c2 b1044 m11539.5 rH
R673 c3 b945 m10495.5 rJ
R674 c4 b1200 m11913.5 rH
R675 c5 b1080 m10713.5 rW
R676 c4 b1180 m11793.5 rD
R677 c5 b1180 m11793.5 rH
R678 c4 b963 m10613.5 rW
R679 c3 b1044 m11576.5 rU
R680 c3 b1143 m12620.5 rS
R681 c4 b1210 m12049.0 rU
R682 c2 b1197 m13259.0 rB
R683 c1 b968 m12062.0 rB
R684 c1 b888 m11094.0 rD
R685 c1 b888 m11094.0 rW
R686 c3 b1080 m11982.0 rB
R687 c4 b1100 m10902.0 rU
R688 c3 b1089 m12002.0 rB
R689 c4 b990 m10913.0 rH
R690 c4 b1000 m9923.0 rS
R691 c4 b855 m9423.0 rU
R692 c4 b927 m10278.0 rD
R693 c2 b824 m10278.0 rU
R694 c3 b1008 m11102.0 rU
R695 c3 b1098 m12110.0 rB
R696 c2 b999 m11012.0 rL
R697 c1 b808 m10013.0 rS
R698 c2 b873 m9609.0 rD
R699 c3 b873 m9609.0 rB
R700 c3 b792 m8736.0 rB
R701 c3 b720 m7944.0 rD
R702 c3 b720 m7944.0 rS
R703 c3 b684 m7584.0 rB
R704 c3 b621 m6900.0 rS
R705 c3 b594 m6589.5 rS
R706 c2 b567 m6292.5 rB
R707 c3 b522 m5725.5 rS
R708 c3 b495 m5464.5 rW
R709 c2 b540 m5959.5 rB
R710 c2 b495 m5419.5 rD
R711 c2 b495 m5419.5 rL
R712 c3 b450 m4924.5 rL
R713 c3 b405 m4474.5 rU
R714 c3 b441 m4879.5 rH
R715 c1 b360 m4438.5 rD
R716 c3 b405 m4438.5 rB
R717 c1 b328 m4033.5 rS
R718 c2 b351 m3869.5 rU
R719 c2 b387 m4220.5 rL
R720 c3 b351 m3833.5 rW
R721 c3 b414 m4535.5 rD
R722 c2 b414 m4535.5 rW
R723 c1 b400 m4949.5 rJ
R724 c1 b448 m5549.5 rB
R725 c1 b416 m5101.5 rL
R726 c0 b329 m4685.5 rU
R727 c0 b357 m5014.5 rL
R728 c2 b423 m4657.5 rS
R729 c2 b405 m4446.0 rD
R730 c2 b405 m4446.0 rL
R731 c1 b328 m4041.0 rH
R732 c1 b304 m3713.0 rL
R733 c1 b280 m3409.0 rW
R734 c1 b296 m3689.0 rL
R735 c2 b306 m3393.0 rW
R736 c3 b333 m3699.0 rW
R737 c1 b328 m4032.0 rU
R738 c2 b423 m4688.0 rH
