============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: O
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R603 c-7 b808 m40312.0 rD
R604 c-8 b404 m40312.0 rL
R605 c-8 b396 m39504.0 rW
R606 c-10 b399 m39900.0 rL
R607 c-6 b792 m39501.0 rL
R608 c-2 b1940 m38709.0 rU
R609 c2 b3663 m40649.0 rB
R610 c2 b3330 m36986.0 rS
R611 c2 b2832 m35321.0 rU
R612 c3 b3438 m38153.0 rB
R613 c2 b2784 m34715.0 rW
R614 c-1 b1875 m37499.0 rU
R615 c-3 b1576 m39374.0 rU
R616 c0 b2870 m40950.0 rL
R617 c1 b2824 m35210.0 rW
R618 c0 b2667 m38034.0 rL
R619 c0 b2478 m35367.0 rW
R620 c-1 b1895 m37845.0 rU
R621 c1 b2919 m41635.0 rH
R622 c-1 b1940 m38716.0 rU
R623 c-1 b2035 m40656.0 rL
R624 c-2 b1935 m38621.0 rU
R625 c-5 b1218 m40556.0 rU
R626 c-8 b418 m41774.0 rU
R627 c-4 b1266 m42192.0 rL
R628 c-2 b2050 m40926.0 rW
R629 c-1 b2150 m42976.0 rU
R630 c1 b3164 m45126.0 rL
R631 c-1 b2100 m41962.0 rL
R632 c0 b2793 m39862.0 rB
R633 c-2 b1855 m37069.0 rJ
R634 c-2 b1995 m39852.0 rL
R635 c-1 b1895 m37857.0 rU
R636 c-2 b1990 m39752.0 rW
R637 c-3 b1672 m41742.0 rW
R638 c-2 b2175 m43414.0 rL
R639 c-3 b1652 m41239.0 rL
R640 c-2 b1980 m39587.0 rD
R641 c-3 b1584 m39587.0 rB
R642 c-4 b1143 m38003.0 rW
R643 c-5 b1176 m39146.0 rU
R644 c-5 b1212 m40322.0 rS
R645 c-4 b1194 m39716.0 rB
R646 c-4 b1158 m38522.0 rU
R647 c-2 b1985 m39680.0 rU
R648 c-2 b2085 m41665.0 rU
R649 c0 b2754 m45835.0 rL
R650 c0 b2586 m43081.0 rL
R651 c0 b2835 m40495.0 rH
R652 c2 b3393 m37660.0 rB
R653 c0 b2058 m34267.0 rL
R654 c0 b1938 m32209.0 rL
R655 c0 b2121 m30271.0 rW
R656 c0 b1944 m32392.0 rB
R657 c0 b1830 m30448.0 rL
R658 c1 b2296 m28618.0 rU
R659 c0 b2170 m30914.0 rH
R660 c-1 b1440 m28744.0 rW
R661 c-3 b1208 m30184.0 rU
R662 c-4 b942 m31392.0 rW
