============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: S
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R715 c0 b852 m14185.0 rS
R716 c0 b828 m13759.0 rH
R717 c0 b732 m12103.0 rB
R718 c0 b684 m11371.0 rU
R719 c0 b726 m12055.0 rS
R720 c0 b702 m11692.0 rW
R721 c0 b744 m12394.0 rL
R722 c0 b702 m11650.0 rL
R723 c0 b660 m10948.0 rH
R724 c0 b582 m9628.0 rL
R725 c0 b546 m9046.0 rS
R726 c0 b528 m8773.0 rL
R727 c0 b498 m8245.0 rL
R728 c0 b468 m7747.0 rU
R729 c0 b498 m8215.0 rJ
R730 c0 b540 m8962.0 rW
R731 c0 b576 m9502.0 rU
R732 c0 b606 m10078.0 rL
R733 c0 b570 m9472.0 rU
R734 c0 b606 m10042.0 rB
R735 c0 b570 m9436.0 rB
R736 c0 b534 m8866.0 rB
