============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: T
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R456 c-2 b1035 m20651.5 rH
R457 c-2 b985 m19616.5 rB
R458 c-1 b935 m18631.5 rW
R459 c-3 b784 m19566.5 rB
R460 c-2 b940 m18782.5 rU
R461 c0 b1188 m19722.5 rH
R462 c0 b1116 m18534.5 rB
R463 c-1 b875 m17418.5 rS
R464 c0 b1190 m16981.0 rJ
R465 c1 b1504 m18766.0 rU
R466 c-1 b1015 m20270.0 rD
R467 c-1 b1015 m20270.0 rH
R468 c0 b1351 m19255.0 rD
R469 c1 b1544 m19255.0 rU
R470 c3 b1872 m20799.0 rD
R471 c5 b2080 m20799.0 rL
R472 c2 b1692 m18719.0 rW
R473 c2 b1845 m20411.0 rB
R474 c4 b1860 m18566.0 rW
R475 c6 b2255 m20426.0 rL
R476 c3 b1638 m18171.0 rL
R477 c3 b1494 m16533.0 rL
R478 c4 b1510 m15039.0 rL
R479 c5 b1210 m12019.0 rW
R480 c6 b1463 m13229.0 rU
R481 c7 b1617 m14692.0 rS
R482 c8 b1668 m13883.5 rL
R483 c8 b1476 m12215.5 rB
R484 c7 b1188 m10739.5 rU
R485 c9 b1440 m11927.5 rH
R486 c10 b1260 m10487.5 rL
R487 c10 b1116 m9227.5 rL
R488 c7 b902 m8111.5 rH
R489 c6 b730 m7209.5 rU
R490 c8 b880 m7939.5 rU
R491 c8 b1164 m9699.5 rB
R492 c7 b946 m8535.5 rH
R493 c6 b737 m6643.5 rU
R494 c6 b814 m7380.5 rW
R495 c6 b902 m8194.5 rW
R496 c9 b1092 m9096.5 rJ
R497 c10 b1296 m10734.5 rW
R498 c10 b1452 m12030.5 rU
R499 c10 b1800 m14934.5 rL
R500 c10 b1584 m13134.5 rU
R501 c9 b1776 m14718.5 rS
R502 c8 b1668 m13830.5 rJ
R503 c7 b1804 m16332.5 rU
R504 c5 b2000 m19940.5 rU
R505 c5 b2200 m21940.5 rU
R506 c4 b2420 m24140.5 rJ
R507 c3 b2502 m27770.5 rW
R508 c2 b2727 m30272.5 rW
R509 c4 b3300 m32999.5 rU
R510 c5 b3630 m36299.5 rL
R511 c6 b3597 m32669.5 rU
R512 c4 b3630 m36266.5 rL
R513 c7 b3597 m32636.5 rU
R514 c8 b4788 m39830.5 rJ
R515 c9 b5652 m47012.5 rL
R516 c7 b4554 m41360.5 rW
R517 c9 b6060 m50468.5 rH
R518 c10 b5340 m44408.5 rW
R519 c10 b5976 m49748.5 rU
R520 c10 b6696 m55724.5 rU
R521 c10 b8304 m69116.5 rW
R522 c10 b9300 m77420.5 rU
R523 c10 b10416 m86720.5 rB
R524 c10 b9168 m76304.5 rL
R525 c10 b8064 m67136.5 rB
R526 c9 b7092 m59072.5 rD
R527 c10 b7092 m59072.5 rU
R528 c10 b7944 m66164.5 rU
R529 c10 b8904 m74108.5 rL
R530 c9 b7836 m65204.5 rU
R531 c7 b8041 m73040.5 rB
R532 c8 b7800 m64999.5 rU
R533 c7 b8008 m72799.5 rU
R534 c9 b9708 m80807.5 rD
R535 c10 b9708 m80807.5 rL
R536 c10 b8532 m71099.5 rU
R537 c9 b9564 m79631.5 rH
R538 c8 b8412 m70067.5 rL
R539 c10 b7404 m61655.5 rL
R540 c8 b6516 m54251.5 rU
R541 c10 b7296 m60767.5 rL
R542 c10 b6420 m53471.5 rU
R543 c9 b7188 m59891.5 rL
R544 c8 b6336 m52703.5 rW
R545 c10 b7092 m59039.5 rB
R546 c9 b6240 m51947.5 rU
R547 c8 b6984 m58187.5 rH
R548 c8 b6156 m51203.5 rL
R549 c6 b4961 m45047.5 rU
R550 c5 b5010 m50008.5 rL
R551 c6 b4950 m44998.5 rU
R552 c5 b5000 m49948.5 rU
R553 c1 b4800 m59948.5 rH
