============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: T
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R599 c0 b2010 m33484.0 rU
R600 c0 b2130 m35494.0 rW
R601 c0 b2262 m37624.0 rW
R602 c0 b2394 m39886.0 rL
R603 c0 b2250 m37492.0 rW
R604 c0 b2520 m41992.0 rH
R605 c0 b2370 m39472.0 rL
R606 c0 b2232 m37102.0 rS
R607 c0 b2160 m35986.0 rL
R608 c0 b2034 m33826.0 rW
R609 c0 b2154 m35860.0 rH
R610 c0 b2028 m33706.0 rS
R611 c0 b1962 m32692.0 rS
R612 c0 b1908 m31711.0 rU
R613 c0 b2136 m35527.0 rL
R614 c0 b1878 m31255.0 rU
R615 c0 b1992 m33133.0 rW
R616 c0 b2112 m35125.0 rB
R617 c0 b1986 m33013.0 rH
R618 c0 b1866 m31027.0 rJ
R619 c0 b2034 m33826.0 rU
R620 c0 b2154 m35860.0 rB
R621 c0 b2028 m33706.0 rJ
R622 c0 b2208 m36748.0 rD
R623 c0 b2208 m36748.0 rU
R624 c0 b2340 m38956.0 rU
R625 c0 b2622 m43636.0 rD
R626 c0 b2622 m43636.0 rU
R627 c0 b2934 m48880.0 rU
R628 c0 b3114 m51814.0 rL
R629 c0 b2922 m48700.0 rB
R630 c0 b2748 m45778.0 rL
R631 c0 b2586 m43030.0 rW
R632 c0 b2742 m45616.0 rU
R633 c0 b2904 m48358.0 rW
R634 c0 b3252 m54166.0 rL
R635 c0 b3060 m50914.0 rW
R636 c0 b3240 m53974.0 rL
R637 c0 b3048 m50734.0 rL
R638 c0 b2862 m47686.0 rB
R639 c0 b2694 m44824.0 rU
R640 c0 b2856 m47518.0 rU
R641 c0 b3024 m50374.0 rH
R642 c0 b2844 m47350.0 rW
R643 c0 b3012 m50194.0 rL
R644 c0 b2832 m47182.0 rD
R645 c0 b2832 m47182.0 rL
R646 c0 b2664 m44350.0 rU
R647 c0 b2826 m47014.0 rD
R648 c0 b2826 m47014.0 rU
R649 c0 b2994 m49840.0 rL
R650 c0 b2814 m46846.0 rU
R651 c0 b2982 m49660.0 rU
R652 c0 b3342 m55624.0 rL
R653 c0 b3138 m52282.0 rW
R654 c0 b3516 m58558.0 rB
R655 c0 b3306 m55042.0 rS
R656 c0 b3204 m53389.0 rS
R657 c0 b3108 m51787.0 rS
R658 c0 b3018 m50233.0 rH
R659 c0 b2838 m47215.0 rH
R660 c0 b2664 m44377.0 rW
R661 c0 b2826 m47041.0 rJ
R662 c0 b3078 m51280.0 rU
R663 c0 b3264 m54358.0 rL
R664 c0 b3066 m51094.0 rL
R665 c0 b2886 m48028.0 rS
R666 c0 b2796 m46585.0 rU
R667 c0 b2964 m49381.0 rW
R668 c0 b3324 m55309.0 rL
R669 c0 b3120 m51985.0 rL
R670 c0 b2934 m48865.0 rH
R671 c0 b2760 m45931.0 rW
R672 c0 b2922 m48691.0 rB
R673 c0 b2748 m45769.0 rL
R674 c0 b2586 m43021.0 rJ
R675 c0 b2814 m46900.0 rU
R676 c0 b2988 m49714.0 rL
R677 c0 b2628 m43738.0 rL
R678 c0 b2472 m41110.0 rW
R679 c0 b2616 m43582.0 rD
R680 c0 b2616 m43582.0 rS
R681 c0 b2538 m42274.0 rS
R682 c0 b2466 m41005.0 rW
R683 c0 b2610 m43471.0 rU
R684 c0 b2766 m46081.0 rU
R685 c0 b3102 m51613.0 rL
R686 c0 b2916 m48511.0 rD
R687 c0 b2916 m48511.0 rU
R688 c0 b3090 m51427.0 rL
R689 c0 b2718 m45247.0 rH
R690 c0 b2556 m42529.0 rL
R691 c0 b2250 m37417.0 rW
R692 c0 b2520 m41917.0 rU
R693 c0 b2670 m44437.0 rS
R694 c0 b2592 m43102.0 rS
R695 c0 b2514 m41806.0 rW
R696 c0 b2664 m44320.0 rU
R697 c0 b2982 m49648.0 rW
R698 c0 b3162 m52630.0 rH
R699 c0 b2970 m49468.0 rW
R700 c0 b3150 m52438.0 rL
R701 c0 b2958 m49288.0 rU
R702 c0 b3318 m55204.0 rS
R703 c0 b3216 m53545.0 rU
R704 c0 b3408 m56761.0 rL
