============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: K
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R540 c3 b4068 m45166.0 rJ
R541 c2 b4617 m51268.0 rW
R542 c0 b3354 m55885.0 rD
R543 c-1 b2795 m55885.0 rB
R544 c0 b3186 m53090.0 rL
R545 c0 b3500 m49904.0 rW
R546 c1 b4560 m56904.0 rS
R547 c2 b4376 m54624.0 rL
R548 c0 b3018 m50248.0 rU
R549 c1 b3731 m53266.0 rB
R550 c0 b2976 m49535.0 rJ
R551 c0 b3240 m53999.0 rD
R552 c-2 b2700 m53999.0 rH
R553 c-2 b2565 m51299.0 rS
R554 c-2 b2505 m50016.5 rW
R555 c0 b3156 m52521.5 rU
R556 c0 b3534 m58833.5 rS
R557 c0 b3997 m57066.5 rW
R558 c2 b5208 m65060.5 rU
R559 c0 b4921 m70268.5 rD
R560 c1 b5624 m70268.5 rU
R561 c3 b6831 m75892.5 rB
R562 c3 b6219 m69061.5 rU
R563 c2 b7335 m81499.5 rU
R564 c2 b7112 m88834.5 rU
R565 c2 b7680 m95946.5 rU
R566 c1 b7259 m103626.5 rL
R567 c2 b8676 m96367.5 rU
R568 c1 b8408 m105043.5 rL
R569 c3 b8703 m96635.5 rB
R570 c3 b7920 m87932.5 rS
R571 c2 b7560 m83972.5 rW
R572 c1 b6412 m91532.5 rU
R573 c0 b6860 m97944.5 rU
R574 c0 b7343 m104804.5 rL
R575 c1 b7800 m97461.5 rS
R576 c1 b6552 m93561.5 rS
R577 c2 b7224 m90285.5 rW
R578 c2 b7808 m97509.5 rW
R579 c2 b10188 m113125.5 rL
R580 c3 b9270 m102937.5 rD
R581 c2 b9270 m102937.5 rW
R582 c1 b7861 m112207.5 rU
R583 c3 b11520 m127929.5 rL
R584 c4 b9441 m104889.5 rU
R585 c2 b10296 m114330.5 rB
R586 c2 b9369 m104034.5 rS
R587 c2 b7952 m99350.0 rD
R588 c3 b8946 m99350.0 rD
R589 c3 b8946 m99350.0 rU
R590 c2 b9747 m108296.0 rS
R591 c2 b8280 m103422.5 rD
R592 c0 b6210 m103422.5 rW
R593 c0 b6582 m109632.5 rS
R594 c1 b7448 m106341.5 rJ
R595 c0 b8232 m117513.5 rJ
R596 c0 b9093 m129861.5 rL
R597 c0 b8456 m120768.5 rH
R598 c1 b8992 m112312.5 rL
R599 c2 b7552 m94328.5 rB
R600 c1 b6076 m86776.5 rJ
R601 c1 b6713 m95890.5 rB
R602 c2 b7136 m89177.5 rU
R603 c2 b7712 m96313.5 rL
R604 c2 b6472 m80889.5 rU
R605 c2 b7866 m87361.5 rL
R606 c1 b6360 m79495.5 rL
R607 c0 b5124 m73135.5 rU
R608 c-1 b3915 m78259.5 rU
R609 c-1 b4110 m82174.5 rW
R610 c-2 b4315 m86284.5 rB
R611 c-3 b3280 m81969.5 rD
R612 c-1 b4100 m81969.5 rH
R613 c-1 b3690 m73769.5 rL
R614 c-1 b3505 m70079.5 rU
R615 c-1 b3680 m73584.5 rW
R616 c-3 b3092 m77264.5 rS
R617 c-3 b3032 m75718.5 rU
R618 c-3 b3152 m78750.5 rH
R619 c-4 b2268 m75598.5 rU
R620 c-3 b3116 m77866.5 rU
R621 c-5 b2430 m80982.5 rU
R622 c-4 b2505 m83412.5 rL
R623 c-3 b3240 m80907.5 rL
R624 c-3 b3108 m77667.5 rL
R625 c-4 b2238 m74559.5 rD
R626 c-3 b2984 m74559.5 rU
R627 c-2 b3880 m77543.5 rL
R628 c-3 b2948 m73663.5 rU
R629 c-2 b3835 m76611.5 rL
R630 c0 b4140 m68941.5 rW
R631 c-1 b3655 m73081.5 rU
R632 c-1 b3840 m76736.5 rB
R633 c-1 b3645 m72896.5 rS
R634 c-1 b3555 m71074.0 rJ
R635 c-2 b3825 m76407.0 rH
R636 c-3 b2904 m72582.0 rU
R637 c-3 b3136 m78390.0 rH
R638 c-5 b2259 m75254.0 rH
R639 c-6 b1460 m72995.0 rL
R640 c-4 b2148 m71535.0 rD
R641 c-3 b2864 m71535.0 rL
R642 c-4 b2061 m68671.0 rL
R643 c-2 b3335 m66610.0 rW
R644 c-3 b2800 m69945.0 rL
R645 c-2 b3360 m67145.0 rL
R646 c-1 b3190 m63785.0 rL
R647 c-1 b2875 m57405.0 rD
R648 c0 b3450 m57405.0 rU
R649 c0 b3654 m60855.0 rW
R650 c-2 b3230 m64509.0 rL
R651 c-2 b3065 m61279.0 rL
R652 c-1 b2915 m58214.0 rB
R653 c-2 b2765 m55299.0 rH
R654 c-2 b2630 m52534.0 rL
R655 c-3 b2000 m49904.0 rU
R656 c-2 b2700 m53904.0 rH
R657 c-2 b2565 m51204.0 rU
R658 c-2 b2820 m56334.0 rW
R659 c0 b3720 m61974.0 rU
R660 c0 b3942 m65694.0 rB
R661 c-1 b3090 m61752.0 rS
R662 c-2 b3015 m60207.0 rD
R663 c0 b4221 m60207.0 rJ
R664 c0 b4662 m66539.0 rD
R665 c0 b3996 m66539.0 rL
R666 c-1 b3130 m62543.0 rB
R667 c-1 b2975 m59413.0 rB
R668 c-1 b2825 m56438.0 rL
R669 c-1 b2685 m53613.0 rS
R670 c-1 b2615 m52270.5 rL
R671 c-3 b1988 m49655.5 rL
R672 c-2 b2385 m47667.5 rL
R673 c-2 b2265 m45282.5 rS
R674 c-3 b1768 m44150.0 rW
R675 c-2 b2300 m45918.0 rH
R676 c-4 b1311 m43618.0 rL
R677 c-2 b2050 m40996.0 rU
R678 c-1 b2255 m45096.0 rD
R679 c0 b2706 m45096.0 rU
R680 c0 b2874 m47802.0 rW
R681 c0 b3042 m50676.0 rD
R682 c0 b3042 m50676.0 rS
R683 c-1 b2460 m49155.0 rW
R684 c-1 b2585 m51615.0 rS
R685 c-1 b2520 m50322.5 rU
R686 c-2 b2645 m52842.5 rL
R687 c-1 b2510 m50197.5 rJ
R688 c-1 b2700 m53962.5 rU
R689 c-1 b2970 m59362.5 rL
R690 c0 b3384 m56392.5 rL
R691 c-1 b2655 m53008.5 rB
R692 c-2 b2520 m50353.5 rH
R693 c-3 b1916 m47833.5 rL
R694 c-3 b1840 m45917.5 rL
R695 c-2 b2205 m44077.5 rD
R696 c-2 b2205 m44077.5 rH
R697 c-1 b1985 m39667.5 rW
R698 c0 b2502 m41652.5 rD
R699 c-1 b2085 m41652.5 rH
R700 c-2 b1980 m39567.5 rW
R701 c-1 b2180 m43527.5 rU
R702 c-1 b2290 m45707.5 rW
R703 c-1 b2400 m47997.5 rB
