============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: 7
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R658 c56 b12936 m107713.5 rJ
R659 c56 b15264 m127117.5 rW
R660 c54 b17088 m142381.5 rJ
R661 c54 b20172 m168013.5 rU
R662 c54 b22584 m188185.5 rL
R663 c53 b19884 m165601.5 rS
R664 c53 b18684 m155659.5 rW
R665 c53 b20928 m174343.5 rU
R666 c53 b23436 m195271.5 rW
R667 c54 b26256 m218707.5 rW
R668 c54 b32556 m271219.5 rW
R669 c54 b36456 m303775.5 rU
R670 c53 b40836 m340231.5 rB
R671 c53 b35928 m299395.5 rL
R672 c53 b31620 m263467.5 rS
R673 c54 b29724 m247657.5 rU
R674 c55 b33288 m277381.5 rL
R675 c56 b25308 m210805.5 rU
R676 c57 b28344 m236113.5 rW
R677 c57 b35148 m292801.5 rU
R678 c58 b39360 m327949.5 rD
R679 c59 b39360 m327949.5 rU
R680 c58 b44088 m367309.5 rH
R681 c58 b33504 m279133.5 rW
R682 c57 b37524 m312637.5 rD
R683 c58 b37524 m312637.5 rW
R684 c57 b42024 m350161.5 rU
R685 c57 b47064 m392185.5 rH
R686 c57 b41424 m345121.5 rJ
R687 c57 b48876 m407257.5 rH
R688 c56 b43008 m358381.5 rW
R689 c57 b48168 m401389.5 rB
R690 c56 b42396 m353221.5 rU
R691 c55 b47484 m395617.5 rL
R692 c56 b41784 m348133.5 rB
R693 c57 b36768 m306349.5 rL
R694 c58 b27948 m232813.5 rU
R695 c58 b31296 m260761.5 rH
R696 c58 b27540 m229465.5 rH
R697 c60 b20928 m174385.5 rU
R698 c60 b23448 m195313.5 rU
R699 c60 b26256 m218761.5 rW
R700 c60 b32556 m271273.5 rL
R701 c60 b28656 m238717.5 rL
R702 c60 b25212 m210061.5 rU
R703 c59 b28236 m235273.5 rS
R704 c59 b26544 m221155.5 rU
R705 c58 b29724 m247699.5 rB
R706 c57 b26160 m217975.5 rL
R707 c56 b23028 m191815.5 rD
R708 c56 b23028 m191815.5 rU
R709 c56 b25788 m214843.5 rW
R710 c58 b31980 m266419.5 rS
